COMP_OS_ID,ITPC_ITPC_ID,SK_SUBS_ID,SK_BMT_ID,BILLING_FILIAL_ID,SUBS_OS_OS_ID,SUBS_SUBS_ID,CR_OS_OS_ID,INQR_ID,FILIAL_ID,CRCAT_CRCAT_ID,SNAP_DATE,SNAP_WEEK,SNAP_MONTH,SNAP_QUARTER,LAT,LON,DESCRIPTION,FULL_NAME,SUBCAT_PYRAMID_NAME,CAT_PYRAMID_NAME,KPI_NAME,CR_WEIGHT,FLAG_LOCAL_GENERAL
85,182,914449,62,29,38,79,66,2000707,7,5,2024-01-29 00:27:38,5,1,1,-47.13375216963748,53.63893520688333,Ошибка в счёте,Поломка оборудования,Низкий ARPU,Обычный,CSI TD Обслуживание в салоне,3.14,1
73,79,972445,129,1,5,19,40,4524285,3,13,2024-07-31 10:25:53,31,7,3,-7.819002948871898,158.61771568471545,Ошибка в счёте,Технические работы,Высокий ARPU,Обычный,CSI TD Информирование,0.81,1
89,121,248922,39,19,56,18,61,167703,3,18,2023-01-11 19:00:47,2,1,1,5.158323721559199,-65.7123069496865,Ошибка в счёте,Технические работы,Высокий ARPU,Обычный,B2X NPS BU Общий,4.86,1
37,52,452833,451,29,76,75,61,9008864,11,3,2023-11-06 10:43:05,45,11,4,4.5697873170924765,-68.02292632540177,Проблема с сетью,Технические работы,Низкий ARPU,Обычный,CSI TD Обслуживание в КЦ оператора,2.42,0
58,80,375486,375,22,44,34,30,1593518,14,11,2024-12-10 17:53:35,50,12,4,72.35693010631124,33.9932035227948,Проблема с сетью,Поломка оборудования,Высокий ARPU,VIP,CSI TD Обслуживание в салоне,3.18,0
64,77,294205,282,48,53,4,71,8545588,14,4,2024-07-12 08:13:32,28,7,3,-19.200528507511095,-98.30480932210347,Проблема с сетью,Поломка оборудования,Низкий ARPU,Обычный,NPS TD (невзвешено),1.5,1
99,172,467561,37,34,24,61,30,8717737,15,8,2023-11-27 23:01:38,48,11,4,-71.2382283765746,-120.90283724907931,Ошибка в счёте,Технические работы,Высокий ARPU,VIP,CSI TD Обслуживание в салоне,0.41,0
29,84,705139,307,22,62,63,9,9571057,12,12,2024-03-21 16:25:59,12,3,1,-31.458378134007077,-36.89820148297662,Некачественный сервис,Поломка оборудования,Низкий ARPU,VIP,CSI TD Качество голосовй связи,1.47,0
29,111,133408,69,9,33,22,32,1497292,3,13,2023-06-28 15:36:56,26,6,2,-67.6337805979249,36.83670962985974,Ошибка в счёте,Технические работы,Высокий ARPU,VIP,B2C NPS BU Качество связи,3.78,0
42,153,130134,33,26,27,82,4,1025961,15,10,2023-05-02 17:32:43,18,5,2,-13.016308186528775,137.43199308242083,Проблема с сетью,Технические работы,Низкий ARPU,VIP,CSI TD Тарифы и стоимость,3.12,0
54,87,733121,106,35,13,87,12,948844,2,11,2024-01-03 01:13:36,1,1,1,-53.71723032218122,44.413162461106964,Ошибка в счёте,Поломка оборудования,Высокий ARPU,Обычный,B2C CSI МИ,3.43,0
22,91,891135,299,42,27,11,51,2628661,3,8,2023-12-21 19:38:30,51,12,4,-77.43777597756825,20.257443730413513,Некачественный сервис,Технические работы,Низкий ARPU,VIP,CSI TD Обслуживание в КЦ оператора,2.88,0
9,128,972027,244,27,76,21,49,5252830,6,8,2024-03-12 07:17:05,11,3,1,56.32608622125585,112.68154987927676,Ошибка в счёте,Технические работы,Низкий ARPU,VIP,B2X NPS BU Общий F&F,0.57,1
72,76,191307,364,28,69,40,20,4000793,7,1,2024-08-09 11:46:06,32,8,3,-83.8243799655936,159.7656990697273,Проблема с сетью,Технические работы,Низкий ARPU,VIP,CSI TD Обслуживание в КЦ оператора,2.24,0
78,120,969920,45,36,75,36,46,6417776,11,5,2024-10-16 08:28:34,42,10,4,46.753421242595266,49.09949364082354,Проблема с сетью,Технические работы,Высокий ARPU,Обычный,B2C CSI Качество Голос,2.93,1
47,122,527459,499,10,76,72,21,472820,9,12,2024-07-29 20:03:33,31,7,3,-41.49536005337583,79.25734393960317,Некачественный сервис,Поломка оборудования,Низкий ARPU,Обычный,CSI TD Мобильное приложение,4.11,0
27,138,977780,385,2,55,30,33,1108715,15,2,2024-11-30 05:35:49,48,11,4,86.83517558615094,136.64369239399457,Некачественный сервис,Технические работы,Высокий ARPU,Обычный,CSI TD Обслуживание в КЦ оператора,1.44,1
22,34,635602,137,31,41,35,31,690192,18,13,2024-02-09 09:30:53,6,2,1,-31.483218714956564,29.326550396589226,Проблема с сетью,Поломка оборудования,Высокий ARPU,VIP,CSI TD Тарифы и стоимость,1.61,1
37,136,630251,322,48,8,55,57,9278204,1,4,2023-10-21 05:56:49,42,10,4,-65.64741702504033,14.602393176678106,Проблема с сетью,Поломка оборудования,Низкий ARPU,VIP,CSI TD Качество покрытия,0.42,1
46,139,601915,27,29,35,44,7,1575592,18,5,2023-04-10 16:46:13,15,4,2,-75.21444564603686,158.50756169904338,Ошибка в счёте,Поломка оборудования,Низкий ARPU,VIP,NPS TD (невзвешено),1.44,0
41,151,168433,84,33,66,9,57,9230397,2,18,2023-09-30 14:11:37,39,9,3,-51.64202673997878,-31.132379957937104,Ошибка в счёте,Технические работы,Высокий ARPU,VIP,CSI TD Качество мобильного интернета,2.74,0
79,19,673584,286,37,44,19,37,771394,8,17,2024-09-21 21:23:05,38,9,3,-41.775201384885804,2.869237706855216,Проблема с сетью,Поломка оборудования,Высокий ARPU,VIP,B2C CSI МИ,1.27,1
34,135,684309,448,5,13,52,37,4818525,13,13,2023-12-23 04:33:41,51,12,4,-51.46090692125169,-126.39442427981243,Проблема с сетью,Поломка оборудования,Высокий ARPU,VIP,CSI TD Информирование,2.78,1
84,14,791112,446,3,69,36,83,1748981,14,19,2024-11-07 02:51:06,45,11,4,54.41243056195145,22.914054902201855,Некачественный сервис,Поломка оборудования,Низкий ARPU,Обычный,B2C CSI МИ,1.55,0
74,100,659836,497,11,9,17,80,6829499,15,17,2023-01-10 02:56:07,2,1,1,-9.027317697312824,-54.47997178093135,Ошибка в счёте,Поломка оборудования,Низкий ARPU,Обычный,B2X NPS BU Общий F&F,3.05,0
30,45,551881,59,19,6,86,10,6314622,7,11,2024-05-28 04:36:35,22,5,2,16.21280249628414,122.06459360609352,Проблема с сетью,Поломка оборудования,Высокий ARPU,VIP,B2C CSI Тарифа,0.76,0
79,178,879044,436,16,68,83,1,7269476,2,12,2024-04-05 21:07:11,14,4,2,81.994894236439,131.53992417801197,Проблема с сетью,Поломка оборудования,Высокий ARPU,Обычный,B2X NPS BU Общий CORE,2.24,1
86,139,480601,187,22,31,86,64,1747527,15,12,2023-07-05 05:59:44,27,7,3,-27.47200262407452,-143.95947803285463,Некачественный сервис,Поломка оборудования,Низкий ARPU,VIP,CSI TD Обслуживание в КЦ оператора,3.71,0
19,30,619187,178,44,39,47,39,6815378,6,19,2023-10-11 19:00:51,41,10,4,-67.54628864011625,-174.95670665323797,Проблема с сетью,Поломка оборудования,Низкий ARPU,Обычный,B2X NPS BU Общий F&F,0.57,0
42,152,683637,18,2,86,5,32,2517588,1,1,2024-10-18 13:01:31,42,10,4,59.53155405921794,-144.43081273990504,Некачественный сервис,Поломка оборудования,Высокий ARPU,Обычный,B2X NPS BU Общий F&F,2.9,1
56,103,984493,224,2,70,29,19,1722045,10,3,2024-06-06 23:19:35,23,6,2,42.32770870410346,177.3711421576591,Некачественный сервис,Технические работы,Низкий ARPU,VIP,CSI TD Обслуживание в КЦ оператора,2.93,1
72,171,203809,310,6,63,39,61,6435163,7,1,2023-02-22 12:10:17,8,2,1,-81.12871915014327,-128.7494596490199,Некачественный сервис,Поломка оборудования,Высокий ARPU,VIP,CSI TD Качество мобильного интернета,4.62,0
94,23,913603,181,17,21,1,49,2824684,5,1,2024-01-06 15:04:55,1,1,1,-81.59045082404228,-121.55717239262016,Некачественный сервис,Технические работы,Низкий ARPU,Обычный,B2X NPS BU Общий F&F,2.52,0
68,98,501772,447,39,12,4,52,8010872,1,9,2023-04-02 09:41:44,13,4,2,60.276096036111596,62.55056606658803,Некачественный сервис,Технические работы,Высокий ARPU,Обычный,B2C NPS BU Качество связи,0.77,1
77,162,931664,283,46,9,3,85,971691,12,10,2024-10-14 20:36:16,42,10,4,-80.02168308853152,45.00245333953819,Некачественный сервис,Технические работы,Низкий ARPU,VIP,NPS TD,2.13,1
94,17,622362,4,40,46,4,80,214937,19,16,2023-02-09 09:08:36,6,2,1,-63.22777863446521,-164.66759265008727,Ошибка в счёте,Поломка оборудования,Низкий ARPU,Обычный,B2X NPS BU Общий CORE,1.26,0
5,89,833477,99,9,61,87,35,6927310,18,9,2024-09-02 08:40:11,36,9,3,-32.12928008443593,-97.61656315853202,Некачественный сервис,Технические работы,Высокий ARPU,VIP,CSI TD Обслуживание в КЦ оператора,3.37,0
47,90,132085,272,33,14,13,23,7133881,11,10,2024-01-09 06:03:55,2,1,1,0.6879406294207513,173.93518605348856,,Технические работы,Высокий ARPU,VIP,CSI TD Информирование,2.66,1
92,83,966390,383,45,41,25,7,2695910,7,1,2024-02-21 05:13:04,8,2,1,-3.8007797811849144,-156.33646859513976,Ошибка в счёте,Технические работы,Высокий ARPU,VIP,CSI TD Обслуживание в КЦ оператора,3.48,1
55,33,403457,475,49,31,43,78,9931482,6,3,2023-11-14 05:45:20,46,11,4,-35.89224581474666,34.61525723146221,Проблема с сетью,Поломка оборудования,Высокий ARPU,Обычный,CSI TD Качество мобильного интернета,3.22,1
36,193,762723,67,47,74,83,48,3120467,10,5,2024-01-21 03:27:33,3,1,1,-64.00825021126826,-94.20033249630822,Проблема с сетью,Поломка оборудования,Высокий ARPU,VIP,CSI TD Качество покрытия,3.97,0
54,63,987055,437,14,21,23,11,1280840,16,1,2023-08-08 22:22:51,32,8,3,72.75728029257508,-115.41782393423776,Ошибка в счёте,Технические работы,Высокий ARPU,Обычный,B2X NPS BU Общий F&F,4.58,1
77,92,240986,252,39,86,1,76,7457130,18,18,2024-09-24 18:48:45,39,9,3,11.612465786086673,-10.586027766544987,Проблема с сетью,Технические работы,Высокий ARPU,Обычный,CSI TD Качество мобильного интернета,3.72,1
27,3,262119,34,49,49,86,67,2029889,8,12,2024-09-16 12:22:44,38,9,3,-49.476554837058345,168.0569406538682,Некачественный сервис,Технические работы,Высокий ARPU,Обычный,B2X NPS BU Общий F&F,4.76,0
66,72,434800,158,40,82,73,65,5519109,9,5,2024-09-02 01:57:36,36,9,3,66.25920523377636,-47.62537584432556,Проблема с сетью,Технические работы,Высокий ARPU,VIP,CSI TD Качество покрытия,4.89,0
80,84,994290,207,6,29,50,75,5246240,13,3,2023-12-15 15:12:21,50,12,4,-68.15370038850611,17.78306456408788,Некачественный сервис,Поломка оборудования,Высокий ARPU,VIP,B2C CSI Качество Голос,3.01,1
86,123,754852,244,11,35,71,87,9491885,11,6,2024-10-24 12:24:00,43,10,4,0.25031134902111773,31.032838951922542,Некачественный сервис,Технические работы,Низкий ARPU,Обычный,B2X NPS BU Общий CORE,0.71,1
4,90,768099,251,47,51,28,79,6967909,14,4,2023-10-05 04:05:04,40,10,4,-38.535370290285584,-88.46563862078591,Некачественный сервис,Поломка оборудования,Высокий ARPU,Обычный,CSI TD Мобильное приложение,3.76,0
68,23,120754,52,26,14,57,6,9392944,16,14,2024-08-16 07:16:17,33,8,3,15.883730738419644,-77.15383490683624,Некачественный сервис,Поломка оборудования,Высокий ARPU,VIP,NPS TD,2.3,1
20,188,848525,28,29,57,71,50,9880037,8,4,2023-09-12 00:47:08,37,9,3,65.29755638181734,-164.5574686502274,Проблема с сетью,Технические работы,Высокий ARPU,Обычный,B2X NPS BU Общий CORE,3.88,0
43,127,689568,374,39,24,4,24,5488246,5,6,2024-05-11 13:25:23,19,5,2,8.924124569460503,-47.928417560558074,Проблема с сетью,Технические работы,Высокий ARPU,Обычный,NPS TD,1.9,1
60,175,200824,35,44,73,63,87,2774536,18,11,2024-12-14 21:14:29,50,12,4,29.036282867347794,-85.92743753392199,Некачественный сервис,Поломка оборудования,Низкий ARPU,VIP,B2X NPS BU Общий,4.86,0
16,142,937549,248,4,45,42,4,3423125,14,9,2023-12-30 09:24:04,52,12,4,1.942640677944624,134.86475264485665,Некачественный сервис,Поломка оборудования,Высокий ARPU,VIP,NPS TD (невзвешено),2.95,1
69,167,148214,289,27,55,47,64,283983,4,12,2023-08-07 12:01:43,32,8,3,-24.83656336235134,83.21679068317707,Проблема с сетью,Технические работы,Низкий ARPU,VIP,B2C CSI Тарифа,0.82,1
93,76,128004,443,20,47,68,37,2870848,11,6,2024-02-13 13:18:33,7,2,1,-17.01076303046706,98.99753863899593,Некачественный сервис,Поломка оборудования,Низкий ARPU,Обычный,B2C CSI Тарифа,3.97,1
95,139,423795,346,29,75,6,78,9048725,9,15,2024-01-30 01:03:22,5,1,1,-79.74174147685063,-163.64473119020488,Ошибка в счёте,Поломка оборудования,Высокий ARPU,Обычный,B2X NPS BU Общий F&F,1.6,1
38,147,375827,486,47,89,68,31,1348303,4,14,2024-08-27 19:21:29,35,8,3,86.31511648208416,-51.0069221301963,Некачественный сервис,Поломка оборудования,Низкий ARPU,VIP,B2C CSI Тарифа,3.67,0
42,72,598824,197,33,31,81,18,9908764,4,3,2023-06-19 14:04:21,25,6,2,83.09708252245056,109.44414258830335,Ошибка в счёте,Поломка оборудования,Низкий ARPU,VIP,CSI TD Тарифы и стоимость,1.0,0
46,194,743814,118,24,76,13,66,9645518,19,16,2024-08-23 16:26:42,34,8,3,57.94269481560042,76.1147424246771,Некачественный сервис,Поломка оборудования,Низкий ARPU,Обычный,CSI TD Мобильное приложение,0.66,1
59,69,900295,122,8,23,32,59,35010,4,15,2023-09-08 18:34:54,36,9,3,1.966509165520975,40.42658258667251,Проблема с сетью,Поломка оборудования,Высокий ARPU,Обычный,B2X NPS BU Общий CORE,2.89,1
63,111,847101,450,32,84,43,74,6325376,9,10,2023-08-13 14:44:15,32,8,3,-66.02691292116054,146.1055682546932,Ошибка в счёте,Поломка оборудования,Высокий ARPU,Обычный,B2X NPS BU Общий,3.8,1
17,131,268493,216,20,20,78,52,7032310,3,13,2023-06-06 16:38:06,23,6,2,67.15041243356126,63.62620776861823,Некачественный сервис,Поломка оборудования,Низкий ARPU,VIP,CSI TD Тарифы и стоимость,4.39,0
63,10,224712,48,40,77,41,86,1588967,5,17,2024-02-11 18:40:23,6,2,1,-33.899464396533126,61.89826392523037,,Поломка оборудования,Высокий ARPU,Обычный,B2C NPS BU Качество связи,4.68,1
6,125,951140,481,34,54,40,40,3539763,4,16,2023-11-04 02:00:05,44,11,4,1.3530325546391992,-145.36125681000252,Ошибка в счёте,Поломка оборудования,Низкий ARPU,VIP,CSI TD Обслуживание в КЦ оператора,3.81,1
86,63,788756,45,49,82,27,7,6813878,10,4,2024-05-23 19:41:59,21,5,2,77.75922626667372,69.18443166043792,,Технические работы,Низкий ARPU,Обычный,CSI TD Качество мобильного интернета,2.18,1
80,32,690100,175,44,85,89,47,1752760,16,14,2023-09-19 18:51:12,38,9,3,-25.66902503335504,-87.25913800348779,Ошибка в счёте,Технические работы,Высокий ARPU,VIP,CSI TD Качество мобильного интернета,4.57,0
17,27,128920,474,10,19,52,41,9853069,15,11,2024-10-29 22:45:33,44,10,4,35.598472704194506,-8.883732768134735,Некачественный сервис,Поломка оборудования,Низкий ARPU,VIP,B2X NPS BU Общий F&F,3.14,1
19,18,858893,477,22,1,75,74,7746589,6,2,2024-03-01 08:00:03,9,3,1,64.20092977219147,51.44812007465802,Проблема с сетью,Поломка оборудования,Высокий ARPU,Обычный,NPS TD,4.12,0
89,189,358398,281,15,36,47,44,5488061,14,6,2024-03-24 10:39:04,12,3,1,39.98633017755395,-136.54474785850158,Проблема с сетью,Технические работы,Низкий ARPU,VIP,B2C NPS BU Качество связи,0.2,1
98,126,504257,216,40,36,47,46,1696435,1,10,2023-04-04 03:45:07,14,4,2,-13.982472381551787,69.9271268707264,Ошибка в счёте,Поломка оборудования,Низкий ARPU,Обычный,NPS TD (невзвешено),1.64,1
4,44,210188,307,46,24,41,17,7211167,7,19,2024-07-01 04:41:14,27,7,3,-78.15838580235607,-51.375693181015265,Ошибка в счёте,Технические работы,Высокий ARPU,VIP,B2C NPS BU Качество связи,2.11,1
40,64,752699,456,49,57,65,13,5085729,10,1,2024-07-27 18:44:46,30,7,3,39.30878173009785,121.4348451131986,Проблема с сетью,Технические работы,Низкий ARPU,Обычный,NPS TD (невзвешено),2.71,0
9,126,603248,376,40,46,60,83,739935,10,4,2023-08-20 05:56:54,33,8,3,32.67461862353197,62.29613664629099,Проблема с сетью,Технические работы,Высокий ARPU,VIP,CSI TD Обслуживание в салоне,3.41,0
74,27,473877,168,35,20,88,88,506216,18,19,2024-12-16 22:58:55,51,12,4,-54.941281107877295,-144.43821654231056,Проблема с сетью,Поломка оборудования,Высокий ARPU,Обычный,NPS TD,1.74,0
78,199,756517,35,23,12,26,85,7676500,1,7,2023-04-16 18:33:37,15,4,2,-70.67096650048471,83.63269729056128,Некачественный сервис,Технические работы,Низкий ARPU,VIP,CSI TD Качество голосовй связи,3.53,1
83,179,468120,166,15,78,57,25,1632433,14,5,2023-01-06 04:15:08,1,1,1,67.38498505442118,127.65901529916403,Ошибка в счёте,Технические работы,Высокий ARPU,Обычный,B2C CSI МИ,1.1,1
68,94,430781,198,40,46,23,79,9459706,15,6,2024-01-19 19:46:44,3,1,1,-35.92630780310915,-97.11217010782666,Некачественный сервис,Технические работы,Низкий ARPU,Обычный,B2X NPS BU Общий F&F,2.16,1
10,32,765993,161,9,4,19,50,9797444,15,8,2023-12-09 23:47:08,49,12,4,-50.79112755812723,159.7140555437769,Ошибка в счёте,Поломка оборудования,Низкий ARPU,VIP,CSI TD Качество голосовй связи,4.43,1
17,77,966886,376,11,31,15,17,2191393,10,2,2023-06-09 22:25:26,23,6,2,-88.88443550585681,170.83219027607834,Проблема с сетью,Поломка оборудования,Низкий ARPU,Обычный,CSI TD Качество мобильного интернета,0.52,1
35,171,138654,44,22,66,28,74,5536110,1,17,2023-03-21 20:39:22,12,3,1,24.24352481528112,68.18180231136074,Ошибка в счёте,Поломка оборудования,Низкий ARPU,VIP,B2X NPS BU Общий,1.69,1
87,15,135548,167,34,88,64,78,748965,13,6,2023-01-26 23:35:03,4,1,1,-2.838884354762186,-21.376641603017475,Некачественный сервис,Технические работы,Высокий ARPU,Обычный,CSI TD Обслуживание в салоне,1.5,1
96,182,385441,41,29,53,4,67,7256616,9,13,2023-04-16 07:19:40,15,4,2,76.08655565045427,-145.86816073479383,Некачественный сервис,Технические работы,Высокий ARPU,Обычный,CSI TD Информирование,1.04,1
55,198,510437,46,12,26,40,40,4568305,16,15,2024-11-24 17:16:34,47,11,4,-53.964477756738084,-178.68498618646535,Некачественный сервис,Технические работы,Высокий ARPU,VIP,B2C CSI Тарифа,4.79,0
90,78,180279,95,16,33,58,49,7473507,1,2,2024-04-20 02:22:55,16,4,2,61.436257232297436,-30.67887601409285,Ошибка в счёте,Технические работы,Высокий ARPU,VIP,CSI TD Информирование,1.33,1
20,71,333521,433,34,88,19,6,5716105,4,2,2023-05-20 07:04:42,20,5,2,43.114119676513724,-148.29944828220687,Некачественный сервис,Технические работы,Высокий ARPU,VIP,B2C NPS BU Качество связи,3.34,0
80,44,938199,374,48,83,36,54,5513383,18,19,2023-02-20 14:22:01,8,2,1,46.45837429397125,-101.65878352335008,Проблема с сетью,Технические работы,Высокий ARPU,VIP,CSI TD Информирование,0.61,1
74,181,197322,354,3,75,70,24,8749169,9,1,2023-08-10 12:53:35,32,8,3,-47.330785710140326,-122.81092858349558,Некачественный сервис,Технические работы,Высокий ARPU,Обычный,CSI TD Информирование,3.13,1
17,78,391715,387,35,40,66,75,1375060,12,10,2023-01-12 18:02:25,2,1,1,32.63605323843372,-154.5171770763581,Проблема с сетью,Поломка оборудования,Высокий ARPU,Обычный,CSI TD Мобильное приложение,1.23,0
75,73,599688,23,39,26,52,14,8420301,3,18,2024-05-07 11:26:52,19,5,2,-54.53180832951266,134.7673163075671,Проблема с сетью,Поломка оборудования,Низкий ARPU,VIP,CSI TD Обслуживание в салоне,2.67,1
34,158,279696,479,25,25,48,44,5244636,1,16,2023-01-05 21:57:08,1,1,1,-2.215373288802624,3.453672199043467,Ошибка в счёте,Поломка оборудования,Низкий ARPU,VIP,B2X NPS BU Общий CORE,2.84,0
7,182,137533,339,36,77,68,61,6243355,1,1,2024-10-19 08:32:30,42,10,4,-89.59942990257788,-170.62903385267057,Проблема с сетью,Технические работы,Высокий ARPU,Обычный,B2C NPS BU Качество связи,2.27,1
22,173,814844,183,32,21,62,59,7101290,11,9,2024-01-09 10:17:37,2,1,1,50.71298676667527,151.74654879643742,Проблема с сетью,Технические работы,Высокий ARPU,VIP,CSI TD Обслуживание в КЦ оператора,4.59,0
59,106,845537,213,22,9,12,15,3757575,18,19,2024-11-19 15:25:41,47,11,4,17.63458885808457,-98.65677026843048,Некачественный сервис,Поломка оборудования,Низкий ARPU,Обычный,B2X NPS BU Общий F&F,2.39,0
80,139,695402,92,32,51,7,81,4416451,5,12,2024-01-11 06:20:27,2,1,1,-82.99422771788362,-26.200960404693205,Ошибка в счёте,Поломка оборудования,Высокий ARPU,Обычный,B2X NPS BU Общий,4.17,1
3,134,126649,134,23,44,21,53,8892331,8,2,2024-10-02 23:07:29,40,10,4,26.67131014130277,127.30404509741419,Ошибка в счёте,Поломка оборудования,Высокий ARPU,VIP,CSI TD Качество покрытия,2.42,0
54,160,811679,394,12,42,26,44,5435318,5,14,2024-02-22 23:54:47,8,2,1,-87.20259227209037,-109.47890069760118,Ошибка в счёте,Поломка оборудования,Высокий ARPU,Обычный,B2X NPS BU Общий,2.23,1
32,142,334788,263,13,15,70,86,7229890,1,7,2024-07-04 19:27:48,27,7,3,5.6543937584590225,-85.61045654610646,Некачественный сервис,Поломка оборудования,Высокий ARPU,Обычный,CSI TD Качество покрытия,3.69,1
92,193,320377,203,40,45,18,11,1004019,19,6,2024-07-22 01:32:32,30,7,3,86.16419871707475,-140.9255914461356,Ошибка в счёте,Технические работы,Низкий ARPU,VIP,CSI TD Качество голосовй связи,4.15,0
39,11,310793,100,41,69,88,2,697372,5,17,2024-04-25 23:29:07,17,4,2,76.49290175194494,-128.7031859429455,Проблема с сетью,Поломка оборудования,Высокий ARPU,Обычный,B2X NPS BU Общий F&F,0.11,1
70,167,227829,316,23,25,77,30,4274213,5,7,2023-06-08 23:42:19,23,6,2,25.886052549888475,-174.6562902222994,Некачественный сервис,Поломка оборудования,Низкий ARPU,Обычный,CSI TD Обслуживание в салоне,1.93,0
92,55,437088,91,25,65,10,60,5570932,14,15,2023-04-04 17:05:34,14,4,2,86.57041465623627,62.54788717008444,Проблема с сетью,Поломка оборудования,Высокий ARPU,VIP,CSI TD Обслуживание в салоне,3.57,0
96,193,611280,22,25,36,53,25,79558,1,16,2023-03-20 08:13:32,12,3,1,-84.83226245535091,-169.99246409827563,Ошибка в счёте,Технические работы,Низкий ARPU,Обычный,B2C NPS BU Качество связи,3.4,1
82,51,710713,383,2,67,34,26,1125236,6,1,2023-08-16 17:53:07,33,8,3,-43.16941833632384,-163.95381658364636,Ошибка в счёте,Поломка оборудования,Высокий ARPU,Обычный,CSI TD Обслуживание в КЦ оператора,3.92,0
