SUBCAT_PYRAMID_NAME,DESCRIPTION,CAT_PYRAMID_NAME,FILIAL_ID,FULL_NAME,FLAG_LOCAL_GENERAL,SNAP_DATE_DAY
Высокий ARPU,Проблема с сетью,Обычный,15,Технические работы,1,2023-06-22
Высокий ARPU,Некачественный сервис,VIP,19,Поломка оборудования,1,2023-01-22
,Ошибка в счёте,VIP,19,Технические работы,1,2024-07-13
Низкий ARPU,Некачественный сервис,Обычный,2,Технические работы,1,2023-11-19
Высокий ARPU,Ошибка в счёте,VIP,5,Технические работы,1,2024-05-22
Низкий ARPU,Ошибка в счёте,Обычный,12,Технические работы,1,2023-10-16
,Ошибка в счёте,Обычный,2,Поломка оборудования,0,2023-01-05
Низкий ARPU,Некачественный сервис,Обычный,3,Технические работы,1,2023-11-02
Высокий ARPU,Проблема с сетью,,18,Технические работы,1,2024-06-05
Высокий ARPU,Проблема с сетью,VIP,13,Технические работы,0,2024-10-27
Низкий ARPU,Некачественный сервис,Обычный,16,Технические работы,0,2024-05-07
Низкий ARPU,Проблема с сетью,Обычный,19,Поломка оборудования,0,2024-09-04
Низкий ARPU,Проблема с сетью,VIP,2,Технические работы,0,2023-12-18
Низкий ARPU,Некачественный сервис,VIP,3,Технические работы,0,2024-09-11
Низкий ARPU,Ошибка в счёте,Обычный,15,Поломка оборудования,0,2024-03-27
Низкий ARPU,Некачественный сервис,VIP,16,Поломка оборудования,0,2024-10-20
Низкий ARPU,Некачественный сервис,Обычный,10,Технические работы,1,2024-09-27
Высокий ARPU,Ошибка в счёте,Обычный,4,,0,2023-12-01
Низкий ARPU,Некачественный сервис,Обычный,11,Технические работы,0,2024-01-15
Низкий ARPU,Проблема с сетью,Обычный,10,Поломка оборудования,1,2023-07-09
Низкий ARPU,Некачественный сервис,VIP,12,Поломка оборудования,0,2024-02-26
Низкий ARPU,Проблема с сетью,Обычный,5,Технические работы,0,2023-09-03
Низкий ARPU,Проблема с сетью,Обычный,5,Поломка оборудования,1,2024-05-15
Высокий ARPU,Ошибка в счёте,Обычный,1,Поломка оборудования,1,2024-10-10
Высокий ARPU,Проблема с сетью,VIP,14,Поломка оборудования,0,2023-01-01
Высокий ARPU,Ошибка в счёте,VIP,16,Технические работы,1,2023-07-17
Низкий ARPU,Некачественный сервис,Обычный,6,Технические работы,1,2024-02-17
Высокий ARPU,Проблема с сетью,VIP,6,Технические работы,0,2023-01-15
Низкий ARPU,Ошибка в счёте,Обычный,8,Технические работы,0,2024-09-05
Высокий ARPU,Проблема с сетью,Обычный,15,Поломка оборудования,0,2024-09-12
Низкий ARPU,Некачественный сервис,VIP,5,Поломка оборудования,1,2023-02-03
Низкий ARPU,Проблема с сетью,Обычный,13,Технические работы,1,2024-03-26
Низкий ARPU,Некачественный сервис,VIP,19,Технические работы,1,2024-11-30
Низкий ARPU,Ошибка в счёте,VIP,17,,0,2023-05-25
Низкий ARPU,Проблема с сетью,Обычный,4,Поломка оборудования,1,2024-08-11
Высокий ARPU,Некачественный сервис,Обычный,13,Технические работы,1,2023-01-21
Высокий ARPU,Некачественный сервис,Обычный,10,Технические работы,1,2024-03-19
Высокий ARPU,Некачественный сервис,Обычный,14,Технические работы,0,2024-02-15
Высокий ARPU,Некачественный сервис,VIP,3,Поломка оборудования,0,2023-04-04
Низкий ARPU,Проблема с сетью,,7,Поломка оборудования,0,2023-10-06
Высокий ARPU,Ошибка в счёте,Обычный,6,Поломка оборудования,0,2023-01-24
Высокий ARPU,Некачественный сервис,VIP,9,Поломка оборудования,1,2024-01-03
Высокий ARPU,Ошибка в счёте,Обычный,16,Поломка оборудования,0,2023-11-14
,Некачественный сервис,VIP,5,Технические работы,1,2023-05-01
Низкий ARPU,Ошибка в счёте,VIP,2,Поломка оборудования,1,2024-09-22
Высокий ARPU,Проблема с сетью,VIP,5,Технические работы,1,2024-10-13
Низкий ARPU,Ошибка в счёте,Обычный,2,Технические работы,1,2024-07-30
Высокий ARPU,Некачественный сервис,VIP,13,Поломка оборудования,0,2024-05-29
Высокий ARPU,Ошибка в счёте,VIP,8,Поломка оборудования,1,2023-03-28
Высокий ARPU,Ошибка в счёте,VIP,11,Поломка оборудования,0,2024-07-27
Низкий ARPU,Некачественный сервис,Обычный,8,Поломка оборудования,0,2024-07-26
Высокий ARPU,Некачественный сервис,Обычный,18,Поломка оборудования,1,2024-10-28
Низкий ARPU,Проблема с сетью,VIP,8,Поломка оборудования,1,2024-06-30
Высокий ARPU,Некачественный сервис,,10,Поломка оборудования,0,2024-11-03
Низкий ARPU,Проблема с сетью,VIP,10,Технические работы,1,2023-02-19
Высокий ARPU,Ошибка в счёте,VIP,10,Технические работы,0,2024-09-24
Высокий ARPU,Некачественный сервис,VIP,12,Технические работы,0,2024-05-01
Низкий ARPU,Некачественный сервис,VIP,3,Технические работы,1,2024-09-11
Высокий ARPU,Ошибка в счёте,Обычный,1,Поломка оборудования,1,2023-08-27
Высокий ARPU,Проблема с сетью,VIP,12,Технические работы,1,2024-03-31
Низкий ARPU,Ошибка в счёте,Обычный,5,Технические работы,1,2023-04-19
Низкий ARPU,Ошибка в счёте,VIP,10,Технические работы,1,2024-01-07
Высокий ARPU,Некачественный сервис,VIP,17,Технические работы,0,2024-01-24
Низкий ARPU,Ошибка в счёте,Обычный,16,Технические работы,0,2024-02-17
Низкий ARPU,Проблема с сетью,Обычный,9,Поломка оборудования,1,2023-01-15
Высокий ARPU,Некачественный сервис,VIP,2,Поломка оборудования,0,2024-03-17
Высокий ARPU,Некачественный сервис,Обычный,10,Технические работы,0,2024-10-18
Низкий ARPU,Проблема с сетью,VIP,14,Поломка оборудования,1,2024-10-21
Низкий ARPU,Проблема с сетью,VIP,17,Поломка оборудования,0,2023-07-06
Высокий ARPU,Некачественный сервис,VIP,3,Технические работы,0,2024-05-03
,Проблема с сетью,VIP,9,Поломка оборудования,0,2023-02-21
Низкий ARPU,Проблема с сетью,Обычный,12,Поломка оборудования,0,2024-07-17
Низкий ARPU,Некачественный сервис,VIP,1,Технические работы,0,2023-04-08
Высокий ARPU,Ошибка в счёте,Обычный,19,Технические работы,1,2024-05-22
Высокий ARPU,Ошибка в счёте,VIP,15,Технические работы,0,2024-08-21
Высокий ARPU,Некачественный сервис,Обычный,3,Технические работы,1,2024-07-25
Высокий ARPU,Некачественный сервис,VIP,13,Технические работы,1,2023-02-01
Низкий ARPU,Ошибка в счёте,Обычный,16,Поломка оборудования,0,2023-07-08
Низкий ARPU,Ошибка в счёте,VIP,5,Технические работы,1,2023-06-20
Низкий ARPU,Некачественный сервис,Обычный,19,Технические работы,0,2023-05-13
Низкий ARPU,Некачественный сервис,Обычный,3,Поломка оборудования,1,2024-09-16
Высокий ARPU,Проблема с сетью,Обычный,7,Технические работы,0,2024-02-25
Низкий ARPU,Некачественный сервис,VIP,1,Технические работы,1,2024-07-16
Высокий ARPU,Проблема с сетью,VIP,18,Технические работы,1,2024-07-27
Высокий ARPU,Проблема с сетью,Обычный,18,Технические работы,1,2024-12-01
Высокий ARPU,Проблема с сетью,Обычный,14,Поломка оборудования,1,2024-02-05
Низкий ARPU,Проблема с сетью,VIP,5,Технические работы,1,2024-12-10
Низкий ARPU,Ошибка в счёте,VIP,2,Технические работы,0,2024-08-05
Низкий ARPU,Некачественный сервис,Обычный,4,Технические работы,1,2024-11-03
Высокий ARPU,Некачественный сервис,VIP,3,Технические работы,0,2024-01-11
Высокий ARPU,Проблема с сетью,Обычный,13,Поломка оборудования,1,2024-06-08
Низкий ARPU,Проблема с сетью,Обычный,17,Технические работы,1,2023-01-09
Низкий ARPU,Некачественный сервис,Обычный,11,Поломка оборудования,1,2023-11-22
Высокий ARPU,Некачественный сервис,Обычный,16,Технические работы,1,2024-03-06
Низкий ARPU,Ошибка в счёте,Обычный,9,Технические работы,1,2024-09-25
Низкий ARPU,Ошибка в счёте,VIP,10,Технические работы,1,2024-05-16
Высокий ARPU,Ошибка в счёте,Обычный,9,Технические работы,0,2024-07-14
Низкий ARPU,Проблема с сетью,VIP,10,Поломка оборудования,0,2024-01-05
Низкий ARPU,Некачественный сервис,Обычный,14,Технические работы,1,2023-03-19
Высокий ARPU,Ошибка в счёте,VIP,10,Поломка оборудования,1,2023-02-03
Низкий ARPU,Некачественный сервис,VIP,8,Поломка оборудования,0,2024-06-30
Низкий ARPU,Проблема с сетью,VIP,12,Поломка оборудования,0,2024-05-17
Низкий ARPU,Проблема с сетью,VIP,17,Технические работы,1,2024-10-11
Высокий ARPU,Ошибка в счёте,Обычный,3,Поломка оборудования,0,2024-02-06
Низкий ARPU,Ошибка в счёте,VIP,10,Технические работы,1,2024-11-24
Низкий ARPU,Проблема с сетью,VIP,9,Поломка оборудования,0,2023-05-20
Низкий ARPU,Проблема с сетью,Обычный,5,Технические работы,1,2024-05-13
Низкий ARPU,Ошибка в счёте,Обычный,5,Поломка оборудования,0,2023-03-01
Низкий ARPU,Некачественный сервис,Обычный,4,Поломка оборудования,1,2023-06-17
Высокий ARPU,Ошибка в счёте,Обычный,3,Поломка оборудования,0,2024-04-15
Низкий ARPU,Ошибка в счёте,VIP,2,,0,2024-05-07
Высокий ARPU,Проблема с сетью,Обычный,19,Технические работы,0,2024-02-15
Низкий ARPU,Некачественный сервис,VIP,8,Поломка оборудования,0,2023-09-29
Низкий ARPU,Проблема с сетью,Обычный,13,Технические работы,1,2024-10-28
Высокий ARPU,Некачественный сервис,VIP,2,Поломка оборудования,0,2024-06-11
Низкий ARPU,Проблема с сетью,Обычный,16,Поломка оборудования,1,2023-07-15
Высокий ARPU,Проблема с сетью,VIP,11,Технические работы,0,2023-06-10
Низкий ARPU,Ошибка в счёте,Обычный,18,Технические работы,0,2023-11-01
Высокий ARPU,Ошибка в счёте,VIP,6,Технические работы,0,2024-03-04
Низкий ARPU,Ошибка в счёте,Обычный,5,Технические работы,0,2024-02-27
Высокий ARPU,Ошибка в счёте,Обычный,10,Технические работы,1,2023-06-29
Низкий ARPU,Ошибка в счёте,Обычный,8,Технические работы,1,2024-07-18
Высокий ARPU,Некачественный сервис,VIP,15,Технические работы,0,2023-08-22
Низкий ARPU,Проблема с сетью,Обычный,16,Технические работы,1,2023-02-20
Высокий ARPU,Проблема с сетью,VIP,14,Поломка оборудования,0,2024-04-30
Низкий ARPU,Некачественный сервис,Обычный,8,Технические работы,1,2024-11-09
Высокий ARPU,Некачественный сервис,Обычный,8,Технические работы,1,2024-01-29
Высокий ARPU,Проблема с сетью,Обычный,15,Поломка оборудования,0,2023-06-26
Низкий ARPU,Ошибка в счёте,VIP,8,Поломка оборудования,0,2024-09-12
Высокий ARPU,Ошибка в счёте,Обычный,14,Технические работы,1,2023-01-06
Высокий ARPU,Некачественный сервис,VIP,8,Технические работы,1,2024-06-08
Низкий ARPU,Проблема с сетью,Обычный,2,Поломка оборудования,0,2024-04-02
Низкий ARPU,Ошибка в счёте,VIP,15,,1,2024-08-12
Низкий ARPU,Некачественный сервис,VIP,2,Поломка оборудования,1,2024-02-17
Высокий ARPU,Проблема с сетью,VIP,9,Поломка оборудования,1,2024-12-12
Низкий ARPU,Проблема с сетью,Обычный,16,,0,2024-10-10
Низкий ARPU,Проблема с сетью,VIP,16,Поломка оборудования,0,2023-08-27
Высокий ARPU,Проблема с сетью,Обычный,2,Поломка оборудования,0,2024-10-01
Высокий ARPU,Проблема с сетью,Обычный,17,Технические работы,1,2024-11-09
Высокий ARPU,Проблема с сетью,Обычный,19,Технические работы,0,2023-03-20
Высокий ARPU,Ошибка в счёте,VIP,14,Технические работы,0,2024-07-19
Низкий ARPU,Некачественный сервис,Обычный,9,Технические работы,1,2023-12-31
Высокий ARPU,Проблема с сетью,Обычный,3,Поломка оборудования,1,2024-01-22
Высокий ARPU,Проблема с сетью,VIP,16,Поломка оборудования,0,2024-12-02
Низкий ARPU,Ошибка в счёте,Обычный,16,Поломка оборудования,1,2024-04-29
,Некачественный сервис,VIP,19,Поломка оборудования,1,2023-03-01
Высокий ARPU,Проблема с сетью,Обычный,19,Поломка оборудования,0,2024-10-06
Низкий ARPU,Проблема с сетью,Обычный,13,Технические работы,1,2023-04-05
Высокий ARPU,Проблема с сетью,VIP,4,Поломка оборудования,1,2024-06-08
Низкий ARPU,Некачественный сервис,Обычный,7,Технические работы,0,2023-02-15
Низкий ARPU,Ошибка в счёте,Обычный,2,Технические работы,1,2024-10-05
Высокий ARPU,Некачественный сервис,VIP,9,Технические работы,0,2023-02-16
Низкий ARPU,Ошибка в счёте,VIP,11,Технические работы,1,2023-07-25
Высокий ARPU,Некачественный сервис,VIP,2,Поломка оборудования,1,2024-02-26
Низкий ARPU,Некачественный сервис,VIP,6,Поломка оборудования,1,2024-05-22
Низкий ARPU,Ошибка в счёте,Обычный,7,Технические работы,0,2024-04-18
Высокий ARPU,Проблема с сетью,Обычный,1,Технические работы,1,2024-07-22
Низкий ARPU,Некачественный сервис,VIP,14,Поломка оборудования,0,2023-07-25
Высокий ARPU,Проблема с сетью,VIP,2,Поломка оборудования,1,2023-07-31
Высокий ARPU,Ошибка в счёте,VIP,10,Технические работы,0,2024-03-13
Высокий ARPU,Проблема с сетью,VIP,12,Технические работы,0,2023-01-12
Низкий ARPU,Некачественный сервис,VIP,4,Технические работы,1,2023-01-02
Низкий ARPU,Проблема с сетью,Обычный,14,Поломка оборудования,1,2023-03-08
Высокий ARPU,Проблема с сетью,VIP,19,Технические работы,0,2024-08-07
Высокий ARPU,Некачественный сервис,,11,Технические работы,1,2023-11-05
Низкий ARPU,Некачественный сервис,Обычный,11,Поломка оборудования,1,2023-06-25
Высокий ARPU,Ошибка в счёте,VIP,2,Технические работы,1,2023-06-21
Высокий ARPU,Проблема с сетью,VIP,1,Технические работы,0,2024-04-16
Низкий ARPU,Проблема с сетью,VIP,2,Поломка оборудования,1,2023-11-13
Низкий ARPU,Проблема с сетью,VIP,11,Поломка оборудования,0,2023-10-24
Низкий ARPU,Проблема с сетью,Обычный,6,Поломка оборудования,1,2024-11-05
Низкий ARPU,Некачественный сервис,VIP,8,Поломка оборудования,0,2024-07-27
Низкий ARPU,Проблема с сетью,VIP,9,Поломка оборудования,1,2023-07-18
Высокий ARPU,Некачественный сервис,VIP,4,Поломка оборудования,0,2024-12-18
Высокий ARPU,Проблема с сетью,Обычный,13,Технические работы,1,2024-11-05
Низкий ARPU,Ошибка в счёте,Обычный,15,Поломка оборудования,0,2024-08-29
Высокий ARPU,Некачественный сервис,Обычный,10,Технические работы,1,2024-09-12
Низкий ARPU,Некачественный сервис,VIP,7,Поломка оборудования,1,2023-06-02
,Ошибка в счёте,VIP,7,Технические работы,0,2024-04-08
Высокий ARPU,Некачественный сервис,VIP,12,Поломка оборудования,0,2023-08-01
Высокий ARPU,Некачественный сервис,Обычный,6,Технические работы,0,2024-07-08
Низкий ARPU,Некачественный сервис,VIP,8,Технические работы,1,2023-12-13
Низкий ARPU,Проблема с сетью,VIP,3,Поломка оборудования,1,2024-07-06
Низкий ARPU,Ошибка в счёте,Обычный,13,Технические работы,0,2024-03-07
Низкий ARPU,Ошибка в счёте,VIP,11,Технические работы,0,2024-03-15
Высокий ARPU,,Обычный,17,Технические работы,1,2023-06-02
Высокий ARPU,Некачественный сервис,Обычный,15,Поломка оборудования,1,2023-04-06
Низкий ARPU,Проблема с сетью,VIP,1,Технические работы,1,2023-11-16
Низкий ARPU,Некачественный сервис,VIP,13,Технические работы,0,2023-07-17
Высокий ARPU,Проблема с сетью,VIP,17,Технические работы,1,2024-07-06
Низкий ARPU,Проблема с сетью,VIP,10,Поломка оборудования,1,2024-10-02
Низкий ARPU,Проблема с сетью,Обычный,12,Поломка оборудования,1,2024-01-21
Высокий ARPU,Некачественный сервис,VIP,9,Поломка оборудования,0,2024-11-27
Низкий ARPU,Ошибка в счёте,Обычный,9,Поломка оборудования,0,2023-09-01
Высокий ARPU,Некачественный сервис,Обычный,7,Поломка оборудования,0,2024-11-07
Высокий ARPU,Проблема с сетью,Обычный,14,Поломка оборудования,1,2024-11-13
Высокий ARPU,Некачественный сервис,Обычный,13,Технические работы,0,2024-11-29
Высокий ARPU,Проблема с сетью,VIP,7,Поломка оборудования,1,2023-08-22
Высокий ARPU,Некачественный сервис,Обычный,9,Поломка оборудования,1,2024-08-22
Высокий ARPU,Проблема с сетью,VIP,1,Поломка оборудования,1,2023-08-30
Низкий ARPU,Проблема с сетью,Обычный,18,Поломка оборудования,0,2024-03-14
Низкий ARPU,Проблема с сетью,VIP,15,Технические работы,1,2024-06-29
Низкий ARPU,Ошибка в счёте,VIP,4,Технические работы,0,2024-09-21
Низкий ARPU,Проблема с сетью,Обычный,5,Поломка оборудования,1,2024-06-05
Высокий ARPU,Проблема с сетью,VIP,9,Поломка оборудования,0,2024-02-15
Низкий ARPU,Некачественный сервис,VIP,1,Поломка оборудования,0,2023-01-06
Низкий ARPU,Ошибка в счёте,Обычный,16,Технические работы,0,2023-10-16
Низкий ARPU,Ошибка в счёте,Обычный,18,Поломка оборудования,1,2023-09-16
Высокий ARPU,Ошибка в счёте,Обычный,14,Технические работы,1,2023-10-19
Низкий ARPU,Некачественный сервис,Обычный,2,Технические работы,1,2023-12-15
Низкий ARPU,Проблема с сетью,Обычный,19,Поломка оборудования,0,2023-01-05
Низкий ARPU,Некачественный сервис,VIP,7,Технические работы,0,2024-01-13
Низкий ARPU,Некачественный сервис,VIP,15,Поломка оборудования,0,2023-09-30
Высокий ARPU,Некачественный сервис,VIP,15,Технические работы,0,2024-02-16
Низкий ARPU,Некачественный сервис,Обычный,1,Технические работы,0,2024-02-03
Низкий ARPU,Ошибка в счёте,VIP,14,Поломка оборудования,1,2024-04-22
Низкий ARPU,Некачественный сервис,Обычный,1,Поломка оборудования,0,2024-09-09
Низкий ARPU,Некачественный сервис,Обычный,3,Поломка оборудования,1,2023-11-10
Низкий ARPU,Некачественный сервис,Обычный,13,Поломка оборудования,1,2024-01-02
Высокий ARPU,Проблема с сетью,Обычный,16,Технические работы,0,2023-02-02
Высокий ARPU,Проблема с сетью,VIP,4,Технические работы,0,2023-08-18
Низкий ARPU,Проблема с сетью,Обычный,14,Поломка оборудования,1,2023-05-04
Низкий ARPU,Ошибка в счёте,VIP,11,Поломка оборудования,0,2023-12-07
Низкий ARPU,Некачественный сервис,VIP,9,Поломка оборудования,0,2024-02-19
Низкий ARPU,,VIP,18,Технические работы,1,2023-05-29
Низкий ARPU,Проблема с сетью,VIP,1,Технические работы,0,2024-08-23
Низкий ARPU,Некачественный сервис,VIP,9,Технические работы,0,2023-05-30
Низкий ARPU,Ошибка в счёте,Обычный,2,Поломка оборудования,1,2023-05-28
Высокий ARPU,Ошибка в счёте,VIP,19,Поломка оборудования,0,2024-06-08
Низкий ARPU,Некачественный сервис,VIP,18,Поломка оборудования,0,2023-08-01
Высокий ARPU,Ошибка в счёте,VIP,12,Технические работы,1,2023-01-11
Низкий ARPU,Некачественный сервис,Обычный,13,Поломка оборудования,0,2023-05-19
Низкий ARPU,Проблема с сетью,VIP,3,Поломка оборудования,1,2023-01-13
Низкий ARPU,Некачественный сервис,VIP,16,Поломка оборудования,1,2024-11-09
Низкий ARPU,Ошибка в счёте,VIP,4,Технические работы,0,2024-04-29
Низкий ARPU,Ошибка в счёте,Обычный,17,Технические работы,0,2024-04-14
Низкий ARPU,Проблема с сетью,VIP,13,Технические работы,0,2023-09-03
Высокий ARPU,Проблема с сетью,VIP,11,Технические работы,1,2023-12-21
Низкий ARPU,Ошибка в счёте,VIP,14,Поломка оборудования,0,2023-07-24
Высокий ARPU,Некачественный сервис,VIP,9,Технические работы,0,2024-12-01
Низкий ARPU,Проблема с сетью,,5,Технические работы,0,2023-09-03
Высокий ARPU,Некачественный сервис,Обычный,8,Поломка оборудования,0,2024-08-14
Высокий ARPU,Проблема с сетью,Обычный,5,Технические работы,0,2024-03-13
Высокий ARPU,Ошибка в счёте,VIP,13,Поломка оборудования,1,2024-09-07
Низкий ARPU,Проблема с сетью,VIP,16,Поломка оборудования,1,2024-06-23
Высокий ARPU,Некачественный сервис,Обычный,15,Поломка оборудования,1,2024-03-04
Высокий ARPU,Ошибка в счёте,VIP,15,Технические работы,1,2024-03-24
Высокий ARPU,Проблема с сетью,VIP,19,Технические работы,1,2024-01-23
Высокий ARPU,Некачественный сервис,VIP,8,Поломка оборудования,0,2023-03-16
Высокий ARPU,Ошибка в счёте,Обычный,6,Поломка оборудования,0,2023-02-21
Высокий ARPU,Ошибка в счёте,Обычный,3,Поломка оборудования,0,2023-09-30
Низкий ARPU,Ошибка в счёте,Обычный,17,,0,2024-07-05
Высокий ARPU,Ошибка в счёте,Обычный,18,Поломка оборудования,1,2023-01-26
Низкий ARPU,Проблема с сетью,VIP,9,Поломка оборудования,1,2024-10-29
Низкий ARPU,Ошибка в счёте,VIP,3,Технические работы,0,2023-12-13
Низкий ARPU,Проблема с сетью,VIP,12,Технические работы,0,2023-02-15
Высокий ARPU,Ошибка в счёте,VIP,18,Технические работы,1,2024-08-28
Низкий ARPU,Проблема с сетью,Обычный,8,Поломка оборудования,1,2023-10-22
Высокий ARPU,Проблема с сетью,Обычный,15,Поломка оборудования,1,2024-11-12
Низкий ARPU,Ошибка в счёте,VIP,11,Поломка оборудования,0,2024-10-28
Низкий ARPU,Ошибка в счёте,VIP,11,Технические работы,1,2024-02-12
Низкий ARPU,Ошибка в счёте,VIP,17,Технические работы,1,2023-05-16
Низкий ARPU,Проблема с сетью,VIP,18,Технические работы,1,2024-07-26
Низкий ARPU,Некачественный сервис,VIP,3,Технические работы,1,2024-12-08
Высокий ARPU,Проблема с сетью,VIP,16,Поломка оборудования,1,2023-09-26
Высокий ARPU,Проблема с сетью,Обычный,4,Поломка оборудования,0,2023-03-04
,Ошибка в счёте,VIP,15,Технические работы,0,2024-07-16
Высокий ARPU,Некачественный сервис,VIP,15,Технические работы,1,2024-08-13
Низкий ARPU,Проблема с сетью,Обычный,5,Технические работы,1,2024-07-08
Высокий ARPU,Проблема с сетью,VIP,15,Технические работы,0,2023-07-29
Низкий ARPU,Некачественный сервис,VIP,11,Технические работы,0,2024-11-13
Низкий ARPU,Ошибка в счёте,VIP,14,Технические работы,1,2023-09-25
Низкий ARPU,Некачественный сервис,VIP,3,Технические работы,0,2024-07-20
Высокий ARPU,Ошибка в счёте,Обычный,11,Технические работы,1,2024-09-13
Низкий ARPU,Проблема с сетью,,4,Поломка оборудования,0,2023-09-18
Высокий ARPU,Ошибка в счёте,VIP,7,Технические работы,0,2023-03-11
Низкий ARPU,Некачественный сервис,VIP,14,Поломка оборудования,0,2024-10-25
Высокий ARPU,Некачественный сервис,Обычный,12,Технические работы,1,2024-04-01
Низкий ARPU,Проблема с сетью,Обычный,15,Технические работы,0,2023-08-29
Высокий ARPU,Проблема с сетью,Обычный,16,Технические работы,1,2024-02-28
Высокий ARPU,Некачественный сервис,VIP,4,Технические работы,0,2023-08-09
Высокий ARPU,Ошибка в счёте,VIP,3,Технические работы,0,2023-06-08
,Ошибка в счёте,Обычный,15,Поломка оборудования,0,2023-01-01
Высокий ARPU,Ошибка в счёте,Обычный,10,Технические работы,0,2024-05-03
Низкий ARPU,Проблема с сетью,VIP,19,Технические работы,0,2024-01-30
Низкий ARPU,Некачественный сервис,Обычный,11,Поломка оборудования,1,2024-05-04
Высокий ARPU,Ошибка в счёте,VIP,17,Технические работы,1,2023-08-12
Высокий ARPU,Проблема с сетью,VIP,3,Поломка оборудования,1,2024-08-18
Низкий ARPU,Ошибка в счёте,VIP,4,Поломка оборудования,1,2023-09-18
Низкий ARPU,Проблема с сетью,VIP,14,Технические работы,0,2023-04-10
Высокий ARPU,Некачественный сервис,VIP,15,Технические работы,1,2023-01-06
Высокий ARPU,Проблема с сетью,VIP,9,Технические работы,1,2024-12-18
Высокий ARPU,Некачественный сервис,VIP,18,Технические работы,0,2024-06-21
Низкий ARPU,Ошибка в счёте,Обычный,17,Технические работы,1,2024-08-23
Низкий ARPU,Ошибка в счёте,VIP,18,Технические работы,1,2023-09-19
Высокий ARPU,Некачественный сервис,VIP,9,Поломка оборудования,0,2024-04-12
Низкий ARPU,Ошибка в счёте,Обычный,18,,0,2024-07-29
Высокий ARPU,Ошибка в счёте,VIP,8,Технические работы,1,2024-08-30
Низкий ARPU,Некачественный сервис,Обычный,15,Поломка оборудования,0,2023-12-29
Низкий ARPU,Некачественный сервис,Обычный,15,Поломка оборудования,0,2024-04-15
Низкий ARPU,,Обычный,10,Технические работы,0,2024-01-05
Низкий ARPU,Проблема с сетью,VIP,4,Технические работы,0,2023-05-03
Низкий ARPU,Проблема с сетью,VIP,8,Поломка оборудования,1,2023-06-30
Высокий ARPU,Проблема с сетью,VIP,17,Технические работы,1,2024-02-18
Высокий ARPU,Проблема с сетью,Обычный,11,Поломка оборудования,0,2023-07-30
