PROFILE_DEVICE_OS,PRODUCT_GROUP_TARIFF,FILIAL_ID,NETWORK_SQI_DATA,NETWORK_OVERLOAD,SNAP_DATE_DAY,NETWORK_PROSTOI,SURVEY_GENDER,NETWORK_DURATION_2G,PRODUCT_PEREPLATY,NETWORK_4G_SHARE,PRODUCT_NAME_LINE_TP,NETWORK_DURATION_4G,REGION_FILIAL,NPS,SURVEY_ARPU_GROUP,NETWORK_VOLTE,PROFILE_DEVICE_TYPE,PROFILE_KINOPOISK,PRODUCT_EVA_TYPE,PROFILE_DEVICE_PRICE,NETWORK_VOWIFI,SURVEY_CITY_SIZE,SURVEY_OPERATOR_AGE_GROUP,SURVEY_AGE_GROUP,NETWORK_SQI_VOICE,PRODUCT_TARIFF_CHANGE,NETWORK_SPEED_LTE,NETWORK_SPD_LOWER_THAN_2000
Прочее,Персональные,10,>99.5%,До 15 дней,2024-01-24,Более 24 часов,Не определен,Более 20%,Более 40 руб,a. <100 MB,Управляй! 3.0,Менее 80%,Дальневосточный филиал,1.0,Низкий,Более 80%,UNDEFINED,100MB - 1GB,Ева Volte,Более 50 тыс. руб,Нет,Малый,45-54,35-44,>99.5%,Более 366 дней,Прочее,Менее 20%
Android,Включайся!,4,<98%,Более 15 дней,2023-07-16,5-24 часа,Не определен,Прочее,Нет переплат,b. <80%,Для ТП Первый семейный,Более 80%,Центральный филиал,-0.1263866486612546,Низкий,Более 80%,PHONE,Более 1GB,Ева МЛК,Более 50 тыс. руб,Нет,Малый,35-44,45-54,Прочее,181-366 дней,>10 Mbps,Более 80%
iOS,Без переплат,16,Прочее,До 15 дней,2023-10-31,5-24 часа,Муж,Прочее,Нет переплат,d. >90%,Мегафон – Линейка 3.2,Менее 80%,Столичный филиал,0.0,Средний,До 80%,NETWORK DEVICE,Более 1GB,Ева МЛК,До 10 тыс. руб.,Нет,Малый,55+,55+,98..99.5%,181-366 дней,>10 Mbps,Более 80%
Прочее,Без переплат,12,Прочее,До 15 дней,2024-07-25,Нет простоя,Не определен,Менее 5%,Нет переплат,b. <80%,Тарифные планы FMC - Объединяй 4.0,Более 80%,Северо-Западный филиал,0.026445339599547268,Низкий,До 80%,PHONE,Нет,Ева+,Более 50 тыс. руб,Нет,Малый,45-54,55+,98..99.5%,91-180 дней,<2 Mbps,Прочее
Android,Внутрисетевые,10,>99.5%,Более 15 дней,2023-07-06,Риск простоя,Муж,Более 20%,До 40 руб,d. >90%,Новая линейка ПД 2020,Более 80%,Уральский филиал,-0.03234824008903524,Средний,Не VoLTE,DATA CARD,Нет,Ева МЛК,10-25 тыс. руб.,Нет,Малый,45-54,45-54,<98%,31-90 дней,5...10 Mbps,20...80%
Прочее,ПД,11,>99.5%,Более 15 дней,2024-05-27,Нет простоя,Жен,Прочее,До 40 руб,c. 80-90%,Агентская линейка 2021,Более 80%,Поволжский филиал,-0.1045005160650574,Низкий,До 80%,DATA CARD,100MB - 1GB,Ева+,Нет данных,Есть,Малый,55+,55+,>99.5%,Более 366 дней,5...10 Mbps,Более 80%
Прочее,Включайся!,2,>99.5%,Более 15 дней,2023-02-19,Нет простоя,Муж,Прочее,Нет переплат,b. <80%,Тёплый приём - линейка 7.0,Прочее,Северо-Западный филиал,-1.0,Средний,Более 80%,NETWORK DEVICE,Нет,Ева Volte,До 10 тыс. руб.,Нет,Малый,55+,35-44,Прочее,31-90 дней,<2 Mbps,Менее 20%
Прочее,Без переплат,16,Прочее,До 15 дней,2023-08-22,5-24 часа,Муж,Более 20%,Более 40 руб,d. >90%,Включайся! - Линейка 3.1,Прочее,Центральный филиал,-0.45790648514849336,Средний,Более 80%,LAPTOP,Нет,Ева Volte,10-25 тыс. руб.,Нет,Средний,55+,55+,<98%,91-180 дней,2...5 Mbps,Более 80%
Android,Без переплат,19,<98%,Более 15 дней,2024-11-23,Риск простоя,Не определен,Прочее,Нет переплат,d. >90%,Включайся! - Линейка 3.4.2 - Прочие ТП,Более 80%,Столичный филиал,-1.0,Низкий,Более 80%,ROUTER,Более 1GB,Ева+,10-25 тыс. руб.,Нет,Средний,55+,25-34,Прочее,Прочее,Прочее,Прочее
Прочее,Все включено,12,Прочее,Нет,2023-02-27,Риск простоя,Не определен,Прочее,Более 40 руб,d. >90%,Без переплат - Линейка 2.3,Более 80%,Поволжский филиал,-0.05073094160818275,Средний,До 80%,ROUTER,100MB - 1GB,Ева+,25-50 тыс. руб.,Есть,Средний,35-44,55+,<98%,91-180 дней,<2 Mbps,Более 80%
Прочее,Прочие,4,Прочее,До 15 дней,2024-10-23,5-24 часа,Не определен,Прочее,Нет переплат,d. >90%,Тёплый приём - линейка 7.0,Прочее,Северо-Западный филиал,0.8737755442694268,Низкий,Более 80%,TABLET,100MB - 1GB,Ева МЛК,До 10 тыс. руб.,Нет,Средний,18-24,25-34,Прочее,31-90 дней,Прочее,Менее 20%
iOS,Агентский конвергент,17,Прочее,Более 15 дней,2024-05-17,Более 24 часов,Муж,Прочее,До 40 руб,c. 80-90%,Моноинтернет от МегаФона,Более 80%,Дальневосточный филиал,-1.0,Низкий,Не VoLTE,PHONE,До 100MB,Ева МЛК,Нет данных,Нет,Большой,25-34,25-34,Прочее,Прочее,2...5 Mbps,Прочее
iOS,Без переплат,12,98...99.5%,До 15 дней,2023-10-30,Нет простоя,Жен,Более 20%,Более 40 руб,b. <80%,CVM: Персональный 4.0,Более 80%,Сибирский филиал,-0.8180706440146276,Средний,Более 80%,NETWORK DEVICE,До 100MB,Ева+,Нет данных,Есть,Малый,55+,45-54,Прочее,91-180 дней,5...10 Mbps,20...80%
Прочее,Персональные,16,<98%,Нет,2024-07-22,Более 24 часов,Жен,5...20%,До 40 руб,d. >90%,Линейка продуктов для агентского канала,Менее 80%,Дальневосточный филиал,-0.07604298690892085,Высокий,Не VoLTE,LAPTOP,Нет,Ева МЛК,До 10 тыс. руб.,Есть,Малый,55+,35-44,<98%,91-180 дней,Прочее,Более 80%
Прочее,Сэмплинг,3,Прочее,Нет,2023-07-16,Риск простоя,Не определен,Прочее,Нет переплат,c. 80-90%,Линейка 'Безлимит 1.0',Прочее,Уральский филиал,0.07072978025185662,Средний,Более 80%,SMARTPHONE,Более 1GB,Ева МЛК,Нет данных,Есть,Средний,25-34,18-24,98..99.5%,Более 366 дней,Прочее,Более 80%
Android,СНГ,2,>99.5%,Нет,2024-02-12,1-5 часов,Муж,Менее 5%,Нет переплат,b. <80%,Включайся! - Линейка 3.4.1 - Прочие ТП,Прочее,Дальневосточный филиал,-0.07799941181932427,Низкий,Не VoLTE,TABLET,Нет,Ева Volte,До 10 тыс. руб.,Нет,Большой,55+,35-44,Прочее,Прочее,Прочее,Менее 20%
Android,Агентский конвергент,7,Прочее,Нет,2023-04-10,Более 24 часов,Муж,Прочее,Более 40 руб,a. <100 MB,Тёплый приём - линейка 7.1,Менее 80%,Кавказский филиал,-0.09667621281232922,Высокий,Более 80%,SMART WATCH,Нет,Ева+,До 10 тыс. руб.,Есть,Большой,45-54,45-54,Прочее,31-90 дней,2...5 Mbps,Прочее
Android,Все включено,6,98...99.5%,Более 15 дней,2024-03-03,5-24 часа,Не определен,Менее 5%,Нет переплат,c. 80-90%,ТП Посекундный 2021,Прочее,Столичный филиал,-0.07846794392532457,Высокий,Не VoLTE,TABLET,Более 1GB,Ева Volte,10-25 тыс. руб.,Нет,Большой,18-24,25-34,<98%,91-180 дней,>10 Mbps,Менее 20%
Android,Включайся!,1,Прочее,До 15 дней,2023-08-13,1-5 часов,Муж,Более 20%,Нет переплат,c. 80-90%,LEGO_Включайся!;Тёплый приём Lego,Прочее,Сибирский филиал,0.006061135318346074,Средний,До 80%,TABLET,Нет,Ева Volte,25-50 тыс. руб.,Есть,Большой,25-34,25-34,Прочее,181-366 дней,Прочее,Более 80%
iOS,Все мобильные,15,Прочее,Нет,2023-01-25,Более 24 часов,Жен,5...20%,Более 40 руб,c. 80-90%,Включайся! - Линейка 3.3 - Выбирай,Более 80%,Поволжский филиал,0.2296742871653409,Низкий,До 80%,UNDEFINED,До 100MB,Ева МЛК,25-50 тыс. руб.,Есть,Малый,55+,55+,Прочее,31-90 дней,>10 Mbps,Более 80%
iOS,Агентский конвергент,12,Прочее,Более 15 дней,2023-07-21,Более 24 часов,Муж,Более 20%,Нет переплат,b. <80%,Умные устройства,Прочее,Кавказский филиал,-0.5279152061472685,Низкий,Более 80%,UNDEFINED,До 100MB,Ева МЛК,Более 50 тыс. руб,Есть,Большой,55+,55+,>99.5%,Прочее,5...10 Mbps,20...80%
iOS,Внутрисетевые,13,98...99.5%,Нет,2024-03-10,1-5 часов,Муж,5...20%,Более 40 руб,d. >90%,Тарифные планы FMC - Непубличные Объединяй!,Прочее,Дальневосточный филиал,-0.3856871844206844,Низкий,Более 80%,TABLET,Более 1GB,Ева Volte,До 10 тыс. руб.,Есть,Средний,45-54,55,98..99.5%,Прочее,<2 Mbps,Прочее
Прочее,Без переплат,8,>99.5%,До 15 дней,2023-05-04,Риск простоя,Муж,Более 20%,До 40 руб,c. 80-90%,Включайся! - Линейка 2 Огненный щит,Прочее,Сибирский филиал,1.0,Высокий,Более 80%,NETWORK DEVICE,Более 1GB,Ева+,25-50 тыс. руб.,Есть,Средний,18-24,55+,>99.5%,Прочее,Прочее,20...80%
iOS,Внутрисетевые,9,>99.5%,До 15 дней,2024-01-13,Более 24 часов,Не определен,Более 20%,Более 40 руб,b. <80%,ВВ - 05.17 (S/M/S+/M+),Прочее,Дальневосточный филиал,-0.28711219617879685,Средний,До 80%,NETWORK DEVICE,Нет,Ева Volte,До 10 тыс. руб.,Есть,Малый,55+,55+,<98%,Прочее,5...10 Mbps,Более 80%
Прочее,Все включено,1,<98%,До 15 дней,2024-12-16,Более 24 часов,Не определен,Прочее,Более 40 руб,d. >90%,Без переплат - Линейка 2.2,Менее 80%,Столичный филиал,-0.27155666116799004,Высокий,Более 80%,PHONE,Более 1GB,Ева Volte,Нет данных,Есть,Средний,55+,55+,<98%,Более 366 дней,2...5 Mbps,Менее 20%
Прочее,ПД,5,Прочее,Нет,2023-12-21,5-24 часа,Жен,Более 20%,Более 40 руб,a. <100 MB,CVM: Персональный 4.0,Прочее,Сибирский филиал,0.048726535388912105,Низкий,Более 80%,TABLET,Нет,Ева МЛК,Более 50 тыс. руб,Есть,Малый,55+,55+,Прочее,До 30 дней,2...5 Mbps,Прочее
Прочее,ПД,7,98...99.5%,Более 15 дней,2023-04-23,Риск простоя,Жен,5...20%,До 40 руб,d. >90%,Тарифные планы FMC - Объединяй 6.2,Прочее,Дальневосточный филиал,-0.9302671180566122,Высокий,Не VoLTE,TABLET,Нет,Ева МЛК,Более 50 тыс. руб,Нет,Средний,35-44,35-44,98..99.5%,31-90 дней,>10 Mbps,20...80%
iOS,Агентский конвергент,18,98...99.5%,До 15 дней,2024-11-29,5-24 часа,Жен,5...20%,Более 40 руб,d. >90%,Тарифные планы FMC - Объединяй 2.0,Менее 80%,Дальневосточный филиал,1.0,Высокий,Более 80%,ROUTER,Более 1GB,Ева Volte,25-50 тыс. руб.,Есть,Малый,25-34,55+,>99.5%,Более 366 дней,<2 Mbps,Прочее
iOS,Все мобильные,8,Прочее,До 15 дней,2023-08-20,Более 24 часов,Муж,Более 20%,До 40 руб,b. <80%,Включайся! - Линейка 3.4.1 - Прочие ТП,Прочее,Сибирский филиал,-0.08073822829597363,Высокий,До 80%,TABLET,До 100MB,Ева Volte,До 10 тыс. руб.,Нет,Малый,35-44,18-24,98..99.5%,До 30 дней,2...5 Mbps,Прочее
iOS,Без переплат,10,98...99.5%,Более 15 дней,2023-06-11,5-24 часа,Жен,5...20%,Более 40 руб,b. <80%,CVM - 28 дней,Менее 80%,Сибирский филиал,0.0,Высокий,Не VoLTE,UNDEFINED,До 100MB,Ева+,25-50 тыс. руб.,Есть,Средний,45-54,35-44,Прочее,31-90 дней,5...10 Mbps,Менее 20%
Android,Прочие,8,<98%,Нет,2023-04-06,Более 24 часов,Жен,5...20%,Нет переплат,d. >90%,Тарифные планы FMC - Непубличные Объединяй!,Менее 80%,Северо-Западный филиал,-0.02677979892587011,Высокий,До 80%,UNDEFINED,100MB - 1GB,Ева Volte,До 10 тыс. руб.,Есть,Средний,55+,18-24,Прочее,31-90 дней,2...5 Mbps,Более 80%
iOS,Персональные,12,Прочее,Нет,2023-01-14,Более 24 часов,Не определен,Менее 5%,Более 40 руб,a. <100 MB,Умные устройства,Более 80%,Уральский филиал,-0.0037437572283919667,Низкий,Не VoLTE,DATA CARD,100MB - 1GB,Ева МЛК,До 10 тыс. руб.,Нет,,25-34,18-24,>99.5%,Прочее,5...10 Mbps,Более 80%
iOS,Включайся!,16,<98%,Более 15 дней,2024-05-23,Риск простоя,Жен,Более 20%,Более 40 руб,b. <80%,Тарифные планы FMC - Объединяй 6.0,Более 80%,Поволжский филиал,0.05638151662076748,Высокий,Более 80%,TABLET,Более 1GB,Ева МЛК,25-50 тыс. руб.,Нет,Малый,25-34,25-34,Прочее,До 30 дней,<2 Mbps,Более 80%
Android,Прочие,12,<98%,Нет,2024-01-20,1-5 часов,Не определен,Менее 5%,Нет переплат,b. <80%,Тёплый приём - линейка 3.0,Менее 80%,Поволжский филиал,-0.702273566025425,Высокий,Не VoLTE,SMARTPHONE,До 100MB,Ева МЛК,10-25 тыс. руб.,Нет,Малый,25-34,55+,Прочее,31-90 дней,2...5 Mbps,Прочее
iOS,СНГ,3,<98%,Более 15 дней,2024-02-10,Нет простоя,Не определен,Менее 5%,До 40 руб,a. <100 MB,Без переплат - Линейка 2.1,Менее 80%,Сибирский филиал,0.13103088591921228,Низкий,Более 80%,LAPTOP,Более 1GB,Ева Volte,10-25 тыс. руб.,Нет,Большой,35-44,55+,98..99.5%,91-180 дней,Прочее,Прочее
Прочее,Агентский конвергент,18,Прочее,Нет,2023-12-06,1-5 часов,Муж,Более 20%,До 40 руб,d. >90%,Тарифные планы FMC - Объединяй 1.0,Прочее,Уральский филиал,-0.05973512053471005,Средний,Более 80%,PHONE,Более 1GB,Ева Volte,До 10 тыс. руб.,Нет,Малый,45-54,25-34,>99.5%,31-90 дней,<2 Mbps,20...80%
Прочее,Все включено,5,Прочее,Нет,2024-12-16,Нет простоя,Муж,5...20%,Более 40 руб,c. 80-90%,ВВ - Архивный (версия 12.16),Менее 80%,Столичный филиал,-0.4256804336274214,Средний,Не VoLTE,PHONE,Нет,Ева Volte,Нет данных,Нет,Средний,45-54,35-44,Прочее,31-90 дней,<2 Mbps,Прочее
Прочее,Агентский конвергент,14,Прочее,Более 15 дней,2024-01-01,Нет простоя,Не определен,5...20%,Нет переплат,d. >90%,China,Прочее,Северо-Западный филиал,1.0,Высокий,Более 80%,ROUTER,Более 1GB,Ева Volte,До 10 тыс. руб.,Есть,Средний,25-34,55+,>99.5%,Более 366 дней,2...5 Mbps,Более 80%
Android,Агентский конвергент,16,Прочее,Более 15 дней,2024-03-09,Риск простоя,Муж,Менее 5%,Более 40 руб,a. <100 MB,Включайся! - Линейка 3.4.2 - Прочие ТП,Прочее,Дальневосточный филиал,-0.08998496133120622,Высокий,Не VoLTE,LAPTOP,Более 1GB,Ева+,25-50 тыс. руб.,Есть,Средний,55+,55+,<98%,31-90 дней,2...5 Mbps,Менее 20%
iOS,ПД,6,<98%,Более 15 дней,2023-12-29,1-5 часов,Не определен,Более 20%,Более 40 руб,a. <100 MB,Тарифные планы FMC - Объединяй 3.0,Прочее,Центральный филиал,0.0,Низкий,До 80%,SMART WATCH,До 100MB,Ева МЛК,Более 50 тыс. руб,Есть,Средний,18-24,55+,>99.5%,Более 366 дней,2...5 Mbps,Менее 20%
Прочее,СНГ,16,Прочее,Более 15 дней,2023-07-05,Более 24 часов,Жен,Прочее,Более 40 руб,c. 80-90%,Тёплый приём - линейка 4.2,Прочее,Центральный филиал,0.0,Средний,Не VoLTE,PHONE,100MB - 1GB,Ева МЛК,10-25 тыс. руб.,Нет,Большой,25-34,45-54,98..99.5%,Более 366 дней,<2 Mbps,20...80%
iOS,Агентский конвергент,14,98...99.5%,До 15 дней,2023-01-26,Нет простоя,Муж,Прочее,До 40 руб,a. <100 MB,Включайся! - Линейка 2,Менее 80%,Сибирский филиал,0.4820936190261943,Высокий,Более 80%,TABLET,Нет,Ева МЛК,10-25 тыс. руб.,Есть,Средний,35-44,55+,>99.5%,181-366 дней,2...5 Mbps,Прочее
iOS,Включайся!,5,Прочее,Более 15 дней,2023-12-24,Более 24 часов,Муж,Прочее,До 40 руб,b. <80%,Включайся! - Линейка 2,Прочее,Сибирский филиал,0.09572325756684598,Средний,Не VoLTE,LAPTOP,100MB - 1GB,Ева+,До 10 тыс. руб.,Нет,Малый,18-24,55+,>99.5%,181-366 дней,>10 Mbps,Более 80%
Прочее,Внутрисетевые,14,>99.5%,Более 15 дней,2023-06-18,Нет простоя,Жен,Прочее,Нет переплат,c. 80-90%,Без переплат - Линейка 1.2,Прочее,Дальневосточный филиал,0.3978853689953237,Высокий,Не VoLTE,SMARTPHONE,Более 1GB,Ева Volte,До 10 тыс. руб.,Нет,Большой,25-34,55+,<98%,31-90 дней,>10 Mbps,Менее 20%
Android,СНГ,11,Прочее,До 15 дней,2023-10-19,Риск простоя,Муж,Более 20%,Нет переплат,c. 80-90%,ВВ - Архивный (версия v.07.16),Более 80%,Столичный филиал,-0.056678591940689145,Низкий,Не VoLTE,PHONE,Более 1GB,Ева+,25-50 тыс. руб.,Есть,Малый,35-44,45-54,<98%,Прочее,2...5 Mbps,Прочее
Android,СНГ,9,<98%,Нет,2024-11-16,Риск простоя,Не определен,Прочее,Нет переплат,c. 80-90%,"Включайся! Конструктор 3.3 - допы (РН, ГБ, МИН)",Более 80%,Северо-Западный филиал,-0.5377774488190898,Высокий,Не VoLTE,SMARTPHONE,Нет,Ева МЛК,25-50 тыс. руб.,Есть,Большой,55+,55+,Прочее,181-366 дней,Прочее,Менее 20%
Прочее,Сэмплинг,7,Прочее,Нет,2023-10-22,Более 24 часов,Жен,5...20%,До 40 руб,d. >90%,Без переплат - Линейка 3.0,Более 80%,Дальневосточный филиал,-0.477419382185894,Высокий,Более 80%,UNDEFINED,100MB - 1GB,Ева+,25-50 тыс. руб.,Нет,Средний,45-54,45-54,<98%,91-180 дней,<2 Mbps,Прочее
Прочее,Сэмплинг,5,Прочее,Более 15 дней,2024-10-13,5-24 часа,Муж,Прочее,Более 40 руб,c. 80-90%,ВВ - 05.17 (XS/L/XL/VIP),Более 80%,Центральный филиал,0.07969252431209856,Средний,Не VoLTE,SMARTPHONE,Более 1GB,Ева+,Более 50 тыс. руб,Нет,Средний,25-34,18-24,Прочее,До 30 дней,Прочее,Более 80%
iOS,Прочие,15,98...99.5%,До 15 дней,2023-02-22,Более 24 часов,Муж,Более 20%,До 40 руб,d. >90%,Без переплат - Линейка 2.2,Более 80%,Центральный филиал,-1.0,Средний,Не VoLTE,USB MODEM,Более 1GB,Ева+,Более 50 тыс. руб,Есть,Большой,55+,45-54,<98%,91-180 дней,2...5 Mbps,Менее 20%
Android,Все мобильные,13,98...99.5%,Более 15 дней,2024-07-19,Нет простоя,Не определен,Менее 5%,Нет переплат,d. >90%,Прочее,Менее 80%,Уральский филиал,0.7336490761747559,Низкий,Более 80%,PHONE,Более 1GB,Ева Volte,10-25 тыс. руб.,Нет,Малый,45-54,45-54,>99.5%,Более 366 дней,2...5 Mbps,20...80%
Прочее,СНГ,12,98...99.5%,До 15 дней,2024-11-20,Более 24 часов,Не определен,Более 20%,Более 40 руб,a. <100 MB,Тёплый приём - линейка 7.1,Менее 80%,Дальневосточный филиал,0.14952462951723983,Высокий,Более 80%,PHONE,Более 1GB,Ева МЛК,25-50 тыс. руб.,Нет,Средний,55+,25-34,>99.5%,181-366 дней,5...10 Mbps,Менее 20%
iOS,СНГ,15,>99.5%,До 15 дней,2023-12-09,Более 24 часов,Не определен,Менее 5%,До 40 руб,d. >90%,Тёплый приём - линейка 7.0,Менее 80%,Уральский филиал,0.33431850826995807,Средний,До 80%,ROUTER,До 100MB,Ева МЛК,Нет данных,Нет,Малый,45-54,55+,98..99.5%,До 30 дней,2...5 Mbps,Менее 20%
iOS,Все включено,19,>99.5%,До 15 дней,2024-06-25,1-5 часов,Муж,Прочее,До 40 руб,b. <80%,Включайся! - Линейка 3.3 - Прочие ТП,Прочее,Дальневосточный филиал,0.011038379192999097,Высокий,Более 80%,DATA CARD,Более 1GB,Ева МЛК,25-50 тыс. руб.,Нет,Средний,25-34,35-44,98..99.5%,Прочее,Прочее,Менее 20%
iOS,Без переплат,19,<98%,Нет,2024-05-11,Нет простоя,Жен,Прочее,Более 40 руб,c. 80-90%,Без переплат - Линейка 2.0,Прочее,Кавказский филиал,1.0,Низкий,Не VoLTE,LAPTOP,До 100MB,Ева МЛК,Более 50 тыс. руб,Есть,Малый,55+,55+,Прочее,До 30 дней,<2 Mbps,Более 80%
Android,Все мобильные,10,98...99.5%,До 15 дней,2024-09-05,Нет простоя,Не определен,5...20%,Более 40 руб,c. 80-90%,Без переплат - Линейка 1.5,Прочее,Поволжский филиал,-0.08408054827564725,Средний,До 80%,SMARTPHONE,Более 1GB,Ева Volte,25-50 тыс. руб.,Нет,Большой,55+,55+,98..99.5%,31-90 дней,<2 Mbps,Более 80%
iOS,Включайся!,17,<98%,Более 15 дней,2023-02-10,5-24 часа,Не определен,Менее 5%,До 40 руб,a. <100 MB,Тёплый приём - линейка 4.2,Менее 80%,Поволжский филиал,-0.12206848358702181,Средний,Не VoLTE,DATA CARD,До 100MB,Ева МЛК,10-25 тыс. руб.,Есть,Большой,18-24,55+,>99.5%,181-366 дней,>10 Mbps,Менее 20%
