NETWORK_SPD_LOWER_THAN_2000,NETWORK_SQI_VOICE,SURVEY_CITY_SIZE,PRODUCT_GROUP_TARIFF,NETWORK_4G_SHARE,SNAP_DATE_DAY,PROFILE_DEVICE_OS,FILIAL_ID,NETWORK_VOWIFI,SURVEY_ARPU_GROUP,PRODUCT_TARIFF_CHANGE,NETWORK_DURATION_2G,NPS,SURVEY_AGE_GROUP,NETWORK_VOLTE,PRODUCT_EVA_TYPE,PROFILE_KINOPOISK,SURVEY_GENDER,NETWORK_OVERLOAD,NETWORK_DURATION_4G,SURVEY_OPERATOR_AGE_GROUP,PROFILE_DEVICE_PRICE,NETWORK_SPEED_LTE,NETWORK_SQI_DATA,PRODUCT_NAME_LINE_TP,REGION_FILIAL,PROFILE_DEVICE_TYPE,PRODUCT_PEREPLATY,NETWORK_PROSTOI
Менее 20%,<98%,Большой,Все включено,a. <100 MB,2024-04-01,Android,1.0,Есть,Высокий,31-90 дней,Прочее,0.0,55,До 80%,Ева+,Нет,Не определен,Нет,Более 80%,25-34,Нет данных,5...10 Mbps,Прочее,China,Центральный филиал,NETWORK DEVICE,До 40 руб,Риск простоя
Прочее,<98%,Малый,Без переплат,c. 80-90%,2024-11-30,Android,4.0,Нет,Высокий,Прочее,Прочее,0.10853110013254544,18-24,Не VoLTE,Ева+,Более 1GB,Жен,До 15 дней,Прочее,55+,До 10 тыс. руб.,5...10 Mbps,98...99.5%,FWA Мобильный конвергент: Объединяй! Мобильный,Кавказский филиал,NETWORK DEVICE,До 40 руб,5-24 часа
20...80%,<98%,Большой,Прочие,a. <100 MB,2023-03-17,Android,19.0,Есть,Высокий,Более 366 дней,Прочее,-0.347042785855897,45-54,До 80%,Ева МЛК,100MB - 1GB,Муж,До 15 дней,Прочее,35-44,Нет данных,>10 Mbps,Прочее,Тёплый приём - линейка 3.0,Дальневосточный филиал,SMARTPHONE,Нет переплат,Более 24 часов
Менее 20%,98..99.5%,Малый,Без переплат,d. >90%,2024-07-29,Прочее,7.0,Нет,Высокий,181-366 дней,Прочее,-1.0,18-24,Более 80%,Ева МЛК,100MB - 1GB,Жен,До 15 дней,Менее 80%,45-54,До 10 тыс. руб.,2...5 Mbps,Прочее,Включайся! - Линейка 2,Дальневосточный филиал,USB MODEM,Более 40 руб,1-5 часов
20...80%,98..99.5%,Большой,СНГ,b. <80%,2024-06-03,iOS,14.0,Нет,Высокий,91-180 дней,Прочее,-0.22507336330639416,55+,Не VoLTE,Ева Volte,Нет,Жен,Более 15 дней,Менее 80%,55+,25-50 тыс. руб.,Прочее,Прочее,Тёплый приём - линейка 6.0,Уральский филиал,LAPTOP,Более 40 руб,Нет простоя
20...80%,Прочее,Средний,Все включено,b. <80%,2024-11-17,Android,14.0,Есть,Высокий,Прочее,Прочее,-0.0,55+,Более 80%,Ева МЛК,100MB - 1GB,Не определен,До 15 дней,Прочее,18-24,Более 50 тыс. руб,2...5 Mbps,98...99.5%,Без переплат - Линейка 1.2,Уральский филиал,SMART WATCH,Более 40 руб,5-24 часа
Прочее,>99.5%,Средний,СНГ,c. 80-90%,2024-08-13,iOS,10.0,Есть,Высокий,Прочее,5...20%,0.1272645656978453,55+,До 80%,Ева Volte,До 100MB,Жен,Более 15 дней,Прочее,18-24,До 10 тыс. руб.,2...5 Mbps,>99.5%,Включайся! - Линейка 2 Огненный щит,Северо-Западный филиал,UNDEFINED,Нет переплат,Более 24 часов
Прочее,>99.5%,Большой,СНГ,b. <80%,2023-11-22,Прочее,7.0,Есть,Высокий,Прочее,5...20%,0.7152921770106149,18-24,Более 80%,Ева МЛК,100MB - 1GB,Муж,Более 15 дней,Более 80%,35-44,До 10 тыс. руб.,2...5 Mbps,>99.5%,Тарифные планы FMC - Объединяй 6.1,Северо-Западный филиал,NETWORK DEVICE,Нет переплат,Нет простоя
20...80%,98..99.5%,Большой,Внутрисетевые,c. 80-90%,2024-02-08,iOS,16.0,Нет,Низкий,Прочее,5...20%,0.061065385854789565,55+,До 80%,Ева Volte,Более 1GB,Не определен,До 15 дней,Более 80%,18-24,25-50 тыс. руб.,Прочее,Прочее,Тарифные планы FMC - Объединяй 1.0,Северо-Западный филиал,LAPTOP,Нет переплат,5-24 часа
Менее 20%,Прочее,Большой,Прочие,b. <80%,2023-05-12,iOS,4.0,Есть,Средний,181-366 дней,Более 20%,-0.9560723740758236,55+,До 80%,Ева МЛК,Нет,Муж,Более 15 дней,Прочее,18-24,10-25 тыс. руб.,2...5 Mbps,<98%,Тарифные планы FMC - Объединяй 5.0,Уральский филиал,SMARTPHONE,Более 40 руб,Более 24 часов
Менее 20%,Прочее,Малый,Все мобильные,c. 80-90%,2023-06-12,iOS,7.0,Нет,Средний,Прочее,Прочее,-1.0,55+,Не VoLTE,Ева МЛК,До 100MB,Жен,Более 15 дней,Прочее,45-54,10-25 тыс. руб.,5...10 Mbps,Прочее,Тарифные планы FMC - Объединяй 1.0,Поволжский филиал,UNDEFINED,До 40 руб,5-24 часа
Прочее,<98%,Малый,СНГ,c. 80-90%,2023-02-18,Android,15.0,Есть,Средний,31-90 дней,Менее 5%,0.17053508625288927,55+,До 80%,Ева МЛК,До 100MB,Жен,Нет,Менее 80%,25-34,10-25 тыс. руб.,2...5 Mbps,98...99.5%,Без переплат - Линейка 1.5,Сибирский филиал,ROUTER,До 40 руб,Нет простоя
Прочее,<98%,Большой,Прочие,c. 80-90%,2023-02-19,Android,17.0,Нет,Высокий,Прочее,Менее 5%,-0.07546202568374064,18-24,До 80%,Ева МЛК,100MB - 1GB,Муж,Более 15 дней,Прочее,35-44,25-50 тыс. руб.,Прочее,>99.5%,Без переплат - Линейка 1.4,Уральский филиал,SMART WATCH,Более 40 руб,5-24 часа
Более 80%,<98%,Средний,ПД,d. >90%,2023-12-03,iOS,3.0,Нет,Низкий,Более 366 дней,Более 20%,0.08169947973524824,45-54,Более 80%,Ева+,Более 1GB,Муж,Более 15 дней,Менее 80%,55+,25-50 тыс. руб.,5...10 Mbps,Прочее,Тарифные планы FMC - Объединяй 2.0,Сибирский филиал,PHONE,Более 40 руб,Нет простоя
Более 80%,98..99.5%,Средний,Все мобильные,c. 80-90%,2023-08-31,Прочее,16.0,Нет,Средний,31-90 дней,Менее 5%,1.0,55+,Более 80%,Ева+,Более 1GB,Жен,Более 15 дней,Менее 80%,55+,10-25 тыс. руб.,5...10 Mbps,Прочее,Переходи на НОЛЬ,Северо-Западный филиал,UNDEFINED,Нет переплат,Нет простоя
Прочее,>99.5%,Средний,Персональные,c. 80-90%,2023-04-29,iOS,2.0,Есть,Средний,91-180 дней,Более 20%,0.08650221463380353,55+,Не VoLTE,Ева+,До 100MB,Муж,До 15 дней,Более 80%,25-34,10-25 тыс. руб.,<2 Mbps,98...99.5%,B2B пакеты Lego,Сибирский филиал,TABLET,До 40 руб,1-5 часов
Менее 20%,<98%,Большой,Персональные,b. <80%,2023-08-21,Прочее,7.0,Есть,Низкий,Прочее,5...20%,-1.0,35-44,Более 80%,Ева МЛК,До 100MB,Жен,Более 15 дней,Прочее,55+,Более 50 тыс. руб,Прочее,Прочее,Включайся! - Линейка 3.3 - Прочие ТП,Столичный филиал,USB MODEM,Нет переплат,Риск простоя
Прочее,<98%,Малый,Без переплат,b. <80%,2023-09-21,Прочее,16.0,Нет,Низкий,Прочее,Прочее,-0.5780188266511546,55+,Более 80%,Ева Volte,Нет,Жен,Более 15 дней,Более 80%,35-44,До 10 тыс. руб.,2...5 Mbps,Прочее,Включайся! - Линейка 3.4 - Прочие ТП,Центральный филиал,UNDEFINED,Нет переплат,Нет простоя
Прочее,<98%,Малый,Все мобильные,c. 80-90%,2024-05-26,Прочее,9.0,Есть,Средний,До 30 дней,Прочее,-0.18986094449864005,55+,Более 80%,Ева+,Более 1GB,Не определен,Более 15 дней,Прочее,35-44,25-50 тыс. руб.,Прочее,<98%,Включайся! - Линейка 3.4.3 - Прочие ТП,Кавказский филиал,SMARTPHONE,Более 40 руб,Нет простоя
20...80%,98..99.5%,Большой,Внутрисетевые,b. <80%,2024-02-07,iOS,12.0,Есть,Низкий,91-180 дней,Прочее,-0.022532346195779825,55+,Не VoLTE,Ева Volte,До 100MB,Жен,До 15 дней,Более 80%,55+,10-25 тыс. руб.,2...5 Mbps,<98%,B2B пакеты Lego,Северо-Западный филиал,PHONE,Нет переплат,Более 24 часов
Прочее,Прочее,Средний,Персональные,d. >90%,2023-08-21,iOS,1.0,Есть,Низкий,31-90 дней,Менее 5%,1.0,45-54,Не VoLTE,Ева+,Нет,Жен,Более 15 дней,Более 80%,18-24,До 10 тыс. руб.,2...5 Mbps,98...99.5%,Тёплый приём - линейка 2.0,Столичный филиал,USB MODEM,Нет переплат,Риск простоя
20...80%,98..99.5%,Большой,Персональные,b. <80%,2024-04-27,iOS,14.0,Нет,Низкий,31-90 дней,Прочее,0.19174112220792466,55+,Более 80%,Ева Volte,Более 1GB,Муж,Нет,Прочее,25-34,25-50 тыс. руб.,5...10 Mbps,>99.5%,Без переплат - Линейка 1.0,Северо-Западный филиал,PHONE,Нет переплат,Более 24 часов
Менее 20%,>99.5%,Средний,ПД,d. >90%,2024-02-17,iOS,11.0,Есть,Высокий,91-180 дней,Прочее,0.20095215427228033,45-54,Не VoLTE,Ева Volte,До 100MB,Муж,Более 15 дней,Менее 80%,55+,25-50 тыс. руб.,>10 Mbps,98...99.5%,ВВ - 05.17 (S/M/S+/M+),Дальневосточный филиал,TABLET,Более 40 руб,1-5 часов
Более 80%,Прочее,Малый,ПД,d. >90%,2023-07-19,Прочее,18.0,Есть,Низкий,181-366 дней,Менее 5%,0.16838779940666201,55+,Не VoLTE,Ева Volte,Нет,Жен,До 15 дней,Прочее,55+,До 10 тыс. руб.,2...5 Mbps,Прочее,Тёплый приём - линейка 5.1,Сибирский филиал,PHONE,Нет переплат,Риск простоя
Более 80%,>99.5%,Средний,Без переплат,a. <100 MB,2024-04-01,iOS,5.0,Нет,Средний,91-180 дней,Менее 5%,-0.5604417140758826,25-34,Не VoLTE,Ева МЛК,100MB - 1GB,Не определен,До 15 дней,Прочее,18-24,25-50 тыс. руб.,>10 Mbps,98...99.5%,LEGO_Включайся!;Тёплый приём Lego,Северо-Западный филиал,UNDEFINED,Нет переплат,5-24 часа
Более 80%,98..99.5%,Средний,Прочие,a. <100 MB,2023-08-27,Android,15.0,Нет,Низкий,Более 366 дней,Более 20%,-0.13954106253667353,25-34,Не VoLTE,Ева+,До 100MB,Муж,Более 15 дней,Более 80%,55+,25-50 тыс. руб.,5...10 Mbps,<98%,Без переплат - Линейка 1.1,Кавказский филиал,PHONE,Нет переплат,1-5 часов
Более 80%,>99.5%,Малый,ПД,d. >90%,2024-03-06,Android,7.0,Нет,Высокий,Более 366 дней,Прочее,1.0,45-54,Более 80%,Ева Volte,До 100MB,Жен,Нет,Менее 80%,55+,Более 50 тыс. руб,2...5 Mbps,98...99.5%,ВВ - Архивный (версия 12.16),Поволжский филиал,USB MODEM,До 40 руб,1-5 часов
20...80%,>99.5%,Малый,Прочие,b. <80%,2024-04-12,Android,14.0,Нет,Высокий,181-366 дней,Более 20%,-0.007716445374006008,45-54,До 80%,Ева МЛК,100MB - 1GB,Не определен,До 15 дней,Менее 80%,18-24,Более 50 тыс. руб,2...5 Mbps,<98%,Умные вещи,Уральский филиал,TABLET,До 40 руб,1-5 часов
Более 80%,<98%,Большой,Без переплат,c. 80-90%,2023-12-19,Прочее,8.0,Нет,Высокий,181-366 дней,5...20%,0.0751652296203812,18-24,Не VoLTE,Ева+,100MB - 1GB,Не определен,Более 15 дней,Более 80%,55+,Нет данных,>10 Mbps,>99.5%,Управляй!+ 2.0,Поволжский филиал,NETWORK DEVICE,До 40 руб,1-5 часов
Более 80%,<98%,Средний,Без переплат,b. <80%,2023-06-17,Android,4.0,Нет,Средний,181-366 дней,Прочее,-0.07095096984656285,55+,Не VoLTE,Ева Volte,100MB - 1GB,Не определен,До 15 дней,Прочее,55+,Нет данных,>10 Mbps,<98%,Тарифные планы FMC - Объединяй 6.0,Столичный филиал,UNDEFINED,Более 40 руб,Более 24 часов
20...80%,<98%,Малый,Включайся!,d. >90%,2024-07-06,iOS,3.0,Есть,Высокий,91-180 дней,Прочее,-1.0,25-34,До 80%,Ева Volte,100MB - 1GB,Муж,До 15 дней,Более 80%,55+,25-50 тыс. руб.,5...10 Mbps,<98%,Прочее,Поволжский филиал,DATA CARD,Нет переплат,Риск простоя
Прочее,>99.5%,Большой,Прочие,b. <80%,2024-03-26,Прочее,12.0,Нет,Высокий,91-180 дней,5...20%,0.7749155931276938,25-34,Более 80%,Ева МЛК,100MB - 1GB,Муж,Нет,Более 80%,55+,Нет данных,2...5 Mbps,98...99.5%,Управляй 2.0,Столичный филиал,UNDEFINED,Более 40 руб,Нет простоя
20...80%,<98%,Большой,Сэмплинг,b. <80%,2024-06-23,iOS,18.0,Есть,Низкий,Более 366 дней,Менее 5%,-0.036061222490657664,55+,Более 80%,Ева+,До 100MB,Муж,Более 15 дней,Прочее,45-54,10-25 тыс. руб.,5...10 Mbps,Прочее,Тарифные планы FMC - Объединяй 6.2,Северо-Западный филиал,DATA CARD,Нет переплат,Нет простоя
